id_colaborador,nome,genero,nivel,data_admissao,data_promocao,salario_base,percentual_bonus,id_departamento,id_filial,id_reporta_a,processos_actifs,horas_extras_mes,score_satisfacao,home_office,status_atual,nome_departamento,id_chefe_departamento,cidade,estado,id_socio_diretor
17,Tatiana Mendes ,Femininoinino,Júnior,,,"4368,38",0.03,20,4,300.0,66,57,1.4,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
18,João Lima ,Não-binário,Júnior,,,"3974,27",0.08,40,2,300.0,18,18,3.7,False,Ativo,Tributário,400,São Paulo,SP,502
19,João Lima ,Masculino,Pleno,,,"7129,65",0.2,10,2,200.0,21,5,4.9,False,Desligado,Civil,100,São Paulo,SP,502
20,Samuel Teixeira ,Femininoinino,Júnior,,,"3908,52",0.07,30,1,400.0,20,3,,False,Ativo,Corporativo,300,Salvador,BA,501
21,Kamila Pereira ,Femininoinino,Pleno,,,"8439,39",0.11,30,1,300.0,34,6,4.2,False,Ativo,Corporativo,300,Salvador,BA,501
22,Bruno Souza ,Femininoinino,Pleno,,,"8299,26",0.2,20,4,501.0,66,38,1.5,True,Desligado,Trabalhista,200,Belo Horizonte,MG,504
23,Felipe Costa ,Femininoinino,Júnior,,,"4822,12",0.02,40,2,100.0,34,5,3.9,True,Ativo,Tributário,400,São Paulo,SP,502
24,Olivia Barbosa ,Femininoinino,Júnior,,,"3957,79",0.04,40,2,501.0,14,10,3.8,True,Ativo,Tributário,400,São Paulo,SP,502
25,Diego Santos ,Femininoinino,Júnior,,,"3767,85",0.06,40,3,501.0,31,18,3.4,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
26,Natan Alves ,Femininoinino,Júnior,,,"4279,88",0.01,20,3,502.0,66,45,1.9,False,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
27,João Lima ,Não-binário,Júnior,,,"4112,59",0.02,10,3,501.0,31,20,3.7,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
28,Gabriela Almeida ,Masculino,Júnior,,,"4678,64",0.1,10,3,502.0,14,11,4.1,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
29,João Lima ,Femininoinino,Pleno,2022-07-15,2022-07-15,"5638,64",0.16,30,1,400.0,30,8,4.5,True,Ativo,Corporativo,300,Salvador,BA,501
30,Elena Rodrigues ,Femininoinino,Pleno,,,"8177,98",0.12,40,4,100.0,26,3,4.2,False,Ativo,Tributário,400,Belo Horizonte,MG,504
31,Renata Pinto ,Masculino,Sênior,2025-02-17,2025-02-17,"12256,94",0.33,40,2,200.0,17,17,4.0,True,Ativo,Tributário,400,São Paulo,SP,502
32,Hugo Ribeiro ,Não-binário,Júnior,,,"4159,81",0.02,30,4,502.0,19,14,4.4,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
33,Natan Alves ,Masculino,Pleno,2023-08-12,2023-08-12,"5686,8",0.19,20,1,300.0,60,35,2.3,True,Ativo,Trabalhista,200,Salvador,BA,501
34,Samuel Teixeira ,Não-binário,Júnior,,,"4846,72",0.1,40,4,200.0,24,7,4.7,True,Ativo,Tributário,400,Belo Horizonte,MG,504
35,Tatiana Mendes ,Não-binário,Pleno,,,"7428,25",0.16,10,4,400.0,18,16,3.8,False,Ativo,Civil,100,Belo Horizonte,MG,504
36,Carla Oliveira ,Masculino,Pleno,2023-08-30,2023-08-30,"5656,26",0.1,30,4,200.0,18,2,4.3,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
37,Diego Santos ,Não-binário,Pleno,,,"6895,1",0.12,20,4,300.0,48,53,1.0,False,Desligado,Trabalhista,200,Belo Horizonte,MG,504
38,Gabriela Almeida ,Não-binário,Júnior,,,"4388,15",0.0,40,4,300.0,23,19,4.0,False,Ativo,Tributário,400,Belo Horizonte,MG,504
39,Natan Alves ,Femininoinino,Júnior,,,"3658,31",0.08,10,3,501.0,32,10,,True,Ativo,Civil,100,Rio de Janeiro,RJ,503
40,Tatiana Mendes ,Masculino,Júnior,,,"3983,46",0.09,40,4,400.0,31,14,3.8,True,Ativo,Tributário,400,Belo Horizonte,MG,504
41,Gabriela Almeida ,Masculino,Sênior,2023-12-27,2023-12-27,"12655,33",0.26,30,2,200.0,35,15,4.1,False,Ativo,Corporativo,300,São Paulo,SP,502
42,Ana Silva ,Masculino,Sócio,2019-01-30,2019-01-30,"22652,44",0.5,40,4,,22,13,4.5,True,Ativo,Tributário,400,Belo Horizonte,MG,504
43,Hugo Ribeiro ,Masculino,Pleno,2024-01-15,2024-01-15,"6446,64",0.13,30,3,501.0,20,20,5.0,True,Desligado,Corporativo,300,Rio de Janeiro,RJ,503
44,João Lima ,Femininoinino,Júnior,,,"4041,32",0.04,30,1,400.0,34,6,4.3,True,Ativo,Corporativo,300,Salvador,BA,501
45,João Lima ,Não-binário,Júnior,,,"4218,07",0.06,10,1,502.0,27,4,4.2,False,Ativo,Civil,100,Salvador,BA,501
46,Tatiana Mendes ,Feminino,Pleno,,,"6244,57",0.18,10,2,501.0,26,16,3.7,False,Desligado,Civil,100,São Paulo,SP,502
47,Vitor Xavier ,Não-binário,Pleno,2022-03-11,2022-03-11,"5797,7",0.12,40,3,100.0,17,19,3.3,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
48,Vitor Xavier ,Não-binário,Pleno,,,"6194,43",0.2,40,4,200.0,20,22,4.3,False,Desligado,Tributário,400,Belo Horizonte,MG,504
49,Hugo Ribeiro ,Não-binário,Júnior,,,"3723,48",0.01,40,1,300.0,26,11,4.5,True,Ativo,Tributário,400,Salvador,BA,501
50,Vitor Xavier ,Femininoinino,Júnior,,,"4834,13",0.04,40,4,200.0,30,3,4.6,False,Ativo,Tributário,400,Belo Horizonte,MG,504
51,Felipe Costa ,Masculino,Sênior,2026-04-12,2026-04-12,"9910,59",0.3,40,4,400.0,17,12,3.9,True,Desligado,Tributário,400,Belo Horizonte,MG,504
52,Bruno Souza ,Não-binário,Júnior,,,"3632,09",0.08,30,4,501.0,26,15,3.3,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
53,Olivia Barbosa ,Não-binário,Júnior,,,"3805,34",0.1,30,4,300.0,31,9,4.5,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
54,Hugo Ribeiro ,Femininoinino,Júnior,,,"4192,17",0.07,10,4,200.0,27,9,4.0,False,Ativo,Civil,100,Belo Horizonte,MG,504
55,Renata Pinto ,Não-binário,Júnior,,,"4796,04",0.04,40,2,501.0,35,11,4.7,False,Ativo,Tributário,400,São Paulo,SP,502
56,Samuel Teixeira ,Masculino,Sênior,2024-09-17,2024-09-17,"11197,45",0.27,40,2,502.0,19,15,3.3,False,Ativo,Tributário,400,São Paulo,SP,502
57,Elena Rodrigues ,Masculino,Sócio,2020-05-23,2020-05-23,"18802,92",0.49,40,4,,12,6,3.9,True,Ativo,Tributário,400,Belo Horizonte,MG,504
58,Isabela Carvalho ,Masculino,Pleno,2023-10-09,2023-10-09,"7449,51",0.15,20,1,100.0,67,50,,True,Ativo,Trabalhista,200,Salvador,BA,501
59,João Lima ,Não-binário,Júnior,,,"4620,15",0.04,10,2,100.0,12,3,3.8,False,Ativo,Civil,100,São Paulo,SP,502
60,Natan Alves ,Masculino,Pleno,2022-02-27,2022-02-27,"7197,78",0.19,30,3,200.0,19,17,4.8,True,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
61,Isabela Carvalho ,Não-binário,Sênior,2024-07-29,2024-07-29,"11593,64",0.25,20,4,400.0,56,53,1.4,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
62,Gabriela Almeida ,Masculino,Pleno,,,"5819,96",0.1,30,4,502.0,24,10,3.2,True,Desligado,Corporativo,300,Belo Horizonte,MG,504
63,Hugo Ribeiro ,Masculino,Sênior,2025-05-27,2025-05-27,"10627,82",0.23,10,4,100.0,13,11,4.6,True,Ativo,Civil,100,Belo Horizonte,MG,504
64,João Lima ,Femininoinino,Pleno,2023-05-31,31/05/2023,"5896,48",0.12,30,2,300.0,27,11,4.5,False,Ativo,Corporativo,300,São Paulo,SP,502
65,Elena Rodrigues ,Femininoinino,Pleno,,,"8080,42",0.11,10,4,400.0,12,10,4.2,True,Ativo,Civil,100,Belo Horizonte,MG,504
66,Mariana Rocha ,Não-binário,Pleno,2025-02-05,2025-02-05,"6201,47",0.19,30,3,400.0,32,4,4.3,True,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
67,Elena Rodrigues ,Femininoinino,Júnior,,,"4919,39",0.07,30,4,502.0,23,19,4.0,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
68,Diego Santos ,Não-binário,Pleno,2024-08-09,2024-08-09,"8354,56",0.13,20,4,502.0,48,56,1.5,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
69,Isabela Carvalho ,Masculino,Júnior,,,"4952,31",0.05,30,1,200.0,19,6,4.6,False,Ativo,Corporativo,300,Salvador,BA,501
70,Gabriela Almeida ,Não-binário,Júnior,,,"3992,84",0.04,10,2,100.0,17,5,4.4,False,Ativo,Civil,100,São Paulo,SP,502
71,Hugo Ribeiro ,Masculino,Pleno,,,"6022,74",0.11,20,1,100.0,59,46,1.7,True,Desligado,Trabalhista,200,Salvador,BA,501
72,Bruno Souza ,Não-binário,Júnior,,,"4282,18",0.1,40,2,400.0,15,17,4.5,True,Ativo,Tributário,400,São Paulo,SP,502
73,Vitor Xavier ,Masculino,Sócio,2016-10-07,07/10/2016,"23697,22",0.47,10,1,,31,15,3.4,False,Ativo,Civil,100,Salvador,BA,501
74,Olivia Barbosa ,Masculino,Júnior,,,"4120,72",0.1,10,2,502.0,20,13,4.9,False,Ativo,Civil,100,São Paulo,SP,502
75,Carla Oliveira ,Femininoinino,Pleno,,,"7733,77",0.2,40,1,400.0,25,13,4.8,False,Desligado,Tributário,400,Salvador,BA,501
76,João Lima ,Não-binário,Júnior,,,"3655,4",0.05,10,3,400.0,15,10,4.2,True,Ativo,Civil,100,Rio de Janeiro,RJ,503
77,Felipe Costa ,Femininoinino,Sênior,2023-07-13,2023-07-13,"10316,33",0.22,10,3,200.0,12,4,,False,Desligado,Civil,100,Rio de Janeiro,RJ,503
78,Kamila Pereira ,Masculino,Pleno,2022-05-26,2022-05-26,"6473,15",0.12,40,4,502.0,13,4,3.7,False,Ativo,Tributário,400,Belo Horizonte,MG,504
79,Olivia Barbosa ,Não-binário,Sênior,2024-04-27,2024-04-27,"11053,28",0.35,40,4,501.0,21,3,3.6,False,Desligado,Tributário,400,Belo Horizonte,MG,504
80,João Lima ,Femininoinino,Pleno,2022-05-17,2022-05-17,"6368,34",0.12,10,1,502.0,29,9,4.1,True,Ativo,Civil,100,Salvador,BA,501
81,Bruno Souza ,Masculino,Sócio,2019-09-06,2019-09-06,"21434,27",0.47,30,1,,24,2,4.9,False,Ativo,Corporativo,300,Salvador,BA,501
82,Lucas Martins ,Não-binário,Júnior,,,"4155,07",0.05,20,4,100.0,52,45,2.1,False,Ativo,Trabalhista,200,Belo Horizonte,MG,504
83,Lucas Martins ,Masculino,Júnior,,,"4722,56",0.01,10,2,501.0,17,22,4.1,True,Ativo,Civil,100,São Paulo,SP,502
84,Kamila Pereira ,Não-binário,Pleno,,,"6906,76",0.15,40,3,100.0,14,11,4.0,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
85,Carla Oliveira ,Masculino,Júnior,,,"4796,38",0.09,10,3,400.0,32,8,3.8,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
86,Diego Santos ,Masculino,Júnior,,,"4973,58",0.08,20,1,300.0,64,40,1.5,False,Ativo,Trabalhista,200,Salvador,BA,501
87,Vitor Xavier ,Masculino,Sênior,2022-04-17,2022-04-17,"12552,71",0.24,40,4,300.0,30,6,4.9,False,Ativo,Tributário,400,Belo Horizonte,MG,504
88,Carla Oliveira ,Não-binário,Pleno,2023-07-09,2023-07-09,"7874,99",0.2,40,2,300.0,25,18,3.9,True,Ativo,Tributário,400,São Paulo,SP,502
89,Kamila Pereira ,Femininoinino,Júnior,,,"3788,01",0.05,30,2,200.0,31,6,4.3,True,Ativo,Corporativo,300,São Paulo,SP,502
90,Vitor Xavier ,Não-binário,Sênior,2025-07-14,2025-07-14,"11139,35",0.29,20,2,400.0,62,42,1.4,False,Ativo,Trabalhista,200,São Paulo,SP,502
91,Tatiana Mendes ,Não-binário,Pleno,,,"6345,32",0.19,20,3,300.0,53,36,1.9,False,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
92,Carla Oliveira ,Masculino,Pleno,,,"6847,96",0.17,10,1,501.0,12,15,3.3,True,Ativo,Civil,100,Salvador,BA,501
93,Carla Oliveira ,Masculino,Sênior,2023-02-06,2023-02-06,"13276,29",0.24,30,2,400.0,27,6,4.6,True,Ativo,Corporativo,300,São Paulo,SP,502
94,Ana Silva ,Femininoinino,Pleno,2022-09-26,2022-09-26,"7146,41",0.13,40,1,502.0,15,3,3.6,False,Ativo,Tributário,400,Salvador,BA,501
95,Pedro Gomes ,Femininoinino,Sênior,2023-05-07,2023-05-07,"12733,45",0.31,40,1,100.0,25,7,4.4,True,Desligado,Tributário,400,Salvador,BA,501
96,Samuel Teixeira ,Não-binário,Júnior,,,"4679,62",0.04,30,1,100.0,35,2,,False,Ativo,Corporativo,300,Salvador,BA,501
97,Diego Santos ,Não-binário,Júnior,,,"4602,78",0.07,30,2,200.0,34,17,4.3,False,Ativo,Corporativo,300,São Paulo,SP,502
98,João Lima ,Femininoinino,Sênior,2021-02-16,2021-02-16,"10920,18",0.35,10,4,100.0,32,8,3.7,True,Desligado,Civil,100,Belo Horizonte,MG,504
99,Lucas Martins ,Femininoinino,Júnior,,,"4834,23",0.05,30,3,502.0,28,10,4.6,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
100,Vitor Xavier ,Masculino,Pleno,2022-10-10,10/10/2022,"5807,79",0.12,40,1,300.0,23,16,3.3,False,Ativo,Tributário,400,Salvador,BA,501
101,Bruno Souza ,Não-binário,Sênior,2023-06-02,2023-06-02,"12557,35",0.34,40,3,300.0,14,9,4.6,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
102,Bruno Souza ,Não-binário,Júnior,,,"3730,16",0.05,30,4,200.0,24,12,4.4,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
103,Felipe Costa ,Não-binário,Sócio,2021-10-14,2021-10-14,"20082,32",0.49,10,1,,34,17,3.6,True,Ativo,Civil,100,Salvador,BA,501
104,Felipe Costa ,Masculino,Pleno,,,"5763,37",0.11,20,1,200.0,62,44,2.2,False,Ativo,Trabalhista,200,Salvador,BA,501
105,Hugo Ribeiro ,Não-binário,Pleno,,,"7876,2",0.17,20,3,100.0,49,54,2.2,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
106,Pedro Gomes ,Não-binário,Júnior,,,"4116,19",0.07,30,4,501.0,33,18,3.8,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
107,Renata Pinto ,Masculino,Sênior,2024-11-13,2024-11-13,"10868,56",0.31,20,2,501.0,47,43,1.3,False,Desligado,Trabalhista,200,São Paulo,SP,502
108,João Lima ,Não-binário,Júnior,,,"4300,22",0.09,30,2,501.0,35,21,3.8,False,Ativo,Corporativo,300,São Paulo,SP,502
109,Bruno Souza ,Femininoinino,Pleno,,,"6293,97",0.17,10,1,300.0,29,11,4.4,False,Ativo,Civil,100,Salvador,BA,501
110,Mariana Rocha ,Não-binário,Pleno,,,"7565,84",0.15,40,2,300.0,16,12,4.8,True,Desligado,Tributário,400,São Paulo,SP,502
111,Lucas Martins ,Femininoinino,Júnior,,,"4342,48",0.0,30,4,400.0,21,14,4.8,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
112,Tatiana Mendes ,Masculino,Pleno,2025-06-24,2025-06-24,"5978,03",0.1,20,2,200.0,57,51,1.6,False,Ativo,Trabalhista,200,São Paulo,SP,502
113,Bruno Souza ,Femininoinino,Pleno,2023-04-09,2023-04-09,"8028,55",0.16,20,3,400.0,53,58,1.5,False,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
114,Bruno Souza ,Masculino,Júnior,,,"4342,73",0.1,30,1,100.0,31,5,3.4,True,Ativo,Corporativo,300,Salvador,BA,501
115,Samuel Teixeira ,Masculino,Sênior,2023-01-18,2023-01-18,"11750,35",0.3,40,3,501.0,26,6,,True,Ativo,Tributário,400,Rio de Janeiro,RJ,503
116,Kamila Pereira ,Não-binário,Pleno,,,"7349,5",0.19,20,3,502.0,60,35,1.5,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
117,João Lima ,Não-binário,Pleno,2026-01-11,2026-01-11,"7290,73",0.1,10,4,502.0,27,7,4.1,True,Ativo,Civil,100,Belo Horizonte,MG,504
118,Hugo Ribeiro ,Não-binário,Pleno,,,"7601,56",0.16,40,2,400.0,25,18,4.6,False,Desligado,Tributário,400,São Paulo,SP,502
119,Gabriela Almeida ,Não-binário,Pleno,,,"7486,68",0.18,10,2,502.0,29,13,4.4,False,Desligado,Civil,100,São Paulo,SP,502
120,Hugo Ribeiro ,Femininoinino,Júnior,,,"4337,13",0.05,30,4,502.0,27,13,4.2,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
121,Tatiana Mendes ,Feminino,Júnior,,,"4314,79",0.04,30,3,400.0,34,4,3.8,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
122,Gabriela Almeida ,Femininoinino,Júnior,,,"3906,7",0.0,30,4,200.0,33,18,3.6,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
123,Kamila Pereira ,Masculino,Sócio,2020-04-24,2020-04-24,"25823,29",0.4,10,1,,27,22,3.6,False,Ativo,Civil,100,Salvador,BA,501
124,Bruno Souza ,Masculino,Sênior,2024-04-23,2024-04-23,"12824,09",0.25,30,3,200.0,13,14,4.6,True,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
125,João Lima ,Femininoinino,Júnior,,,"4404,17",0.08,30,1,100.0,26,10,3.5,True,Ativo,Corporativo,300,Salvador,BA,501
126,Olivia Barbosa ,Não-binário,Pleno,,,"6058,6",0.12,30,2,501.0,32,14,4.7,False,Ativo,Corporativo,300,São Paulo,SP,502
127,Diego Santos ,Masculino,Júnior,,,"4972,53",0.04,30,1,501.0,22,11,4.2,False,Ativo,Corporativo,300,Salvador,BA,501
128,Lucas Martins ,Não-binário,Pleno,,,"7503,36",0.11,10,3,200.0,21,13,4.3,False,Ativo,Civil,100,Rio de Janeiro,RJ,503
129,Olivia Barbosa ,Femininoinino,Júnior,,,"4060,44",0.09,20,4,502.0,47,51,1.6,True,Ativo,Trabalhista,200,Belo Horizonte,MG,504
130,Diego Santos ,Não-binário,Pleno,2022-02-10,2022-02-10,"6106,47",0.11,30,1,501.0,18,20,4.1,True,Ativo,Corporativo,300,Salvador,BA,501
131,Elena Rodrigues ,Masculino,Júnior,,,"4123,14",0.04,40,1,100.0,12,8,4.2,True,Ativo,Tributário,400,Salvador,BA,501
132,Carla Oliveira ,Não-binário,Pleno,,,"8303,75",0.16,40,3,502.0,16,22,5.0,False,Desligado,Tributário,400,Rio de Janeiro,RJ,503
133,Olivia Barbosa ,Masculino,Júnior,,,"4063,47",0.02,40,3,502.0,29,14,4.2,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
134,João Lima ,Femininoinino,Júnior,,,"4510,25",0.02,20,1,502.0,53,41,,False,Ativo,Trabalhista,200,Salvador,BA,501
135,Natan Alves ,Não-binário,Júnior,,,"4649,08",0.09,10,1,100.0,33,3,3.6,False,Ativo,Civil,100,Salvador,BA,501
136,Samuel Teixeira ,Feminino,Pleno,2022-04-17,17/04/2022,"8480,45",0.19,40,4,200.0,33,12,3.6,True,Ativo,Tributário,400,Belo Horizonte,MG,504
137,Isabela Carvalho ,Masculino,Pleno,,,"7275,0",0.1,20,4,501.0,65,56,1.5,False,Desligado,Trabalhista,200,Belo Horizonte,MG,504
138,Elena Rodrigues ,Masculino,Sênior,2024-09-05,2024-09-05,"10584,36",0.34,30,4,200.0,25,15,4.2,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
139,Gabriela Almeida ,Masculino,Sênior,2021-11-07,2021-11-07,"9916,09",0.21,40,2,100.0,33,21,4.3,False,Ativo,Tributário,400,São Paulo,SP,502
140,Gabriela Almeida ,Masculino,Sócio,2020-03-02,2020-03-02,"25696,62",0.38,20,2,,67,41,1.6,False,Ativo,Trabalhista,200,São Paulo,SP,502
141,Mariana Rocha ,Masculino,Pleno,,,"6577,78",0.11,20,3,400.0,55,41,1.5,False,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
142,Elena Rodrigues ,Não-binário,Pleno,,,"8304,27",0.15,10,2,400.0,24,20,4.7,True,Desligado,Civil,100,São Paulo,SP,502
143,Pedro Gomes ,Masculino,Sócio,2020-05-17,2020-05-17,"22372,37",0.4,30,3,,14,3,4.6,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
144,Hugo Ribeiro ,Não-binário,Júnior,,,"4560,75",0.07,40,2,400.0,12,2,4.2,True,Ativo,Tributário,400,São Paulo,SP,502
145,Isabela Carvalho ,Não-binário,Júnior,,,"4966,22",0.08,10,1,501.0,16,9,3.5,True,Ativo,Civil,100,Salvador,BA,501
146,Mariana Rocha ,Masculino,Júnior,,,"4059,58",0.01,30,3,100.0,32,22,4.6,False,Ativo,Corporativo,300,Rio de Janeiro,RJ,503
147,Samuel Teixeira ,Masculino,Júnior,,,"3584,17",0.01,40,4,502.0,28,3,3.6,True,Ativo,Tributário,400,Belo Horizonte,MG,504
148,Carla Oliveira ,Femininoinino,Pleno,2025-03-24,2025-03-24,"7190,53",0.13,40,3,300.0,16,14,4.9,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
149,Mariana Rocha ,Não-binário,Júnior,,,"4844,79",0.01,20,2,300.0,58,42,2.2,False,Ativo,Trabalhista,200,São Paulo,SP,502
150,Isabela Carvalho ,Femininoinino,Pleno,,,"6971,81",0.2,40,3,501.0,33,14,3.4,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
151,Carla Oliveira ,Não-binário,Pleno,2021-11-01,2021-11-01,"7635,03",0.11,30,2,300.0,12,11,4.0,True,Ativo,Corporativo,300,São Paulo,SP,502
152,Felipe Costa ,Femininoinino,Pleno,,,"7164,22",0.19,10,2,400.0,22,14,3.2,False,Desligado,Civil,100,São Paulo,SP,502
153,Samuel Teixeira ,Não-binário,Júnior,,,"4357,94",0.02,40,1,400.0,14,7,,True,Ativo,Tributário,400,Salvador,BA,501
154,Lucas Martins ,Femininoinino,Pleno,2022-10-03,03/10/2022,"6987,41",0.1,30,4,300.0,22,21,3.9,False,Ativo,Corporativo,300,Belo Horizonte,MG,504
155,Vitor Xavier ,Masculino,Sócio,2019-08-19,2019-08-19,"20513,47",0.47,40,3,,27,20,4.6,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
156,Mariana Rocha ,Masculino,Sênior,2022-01-17,2022-01-17,"13987,69",0.2,30,4,100.0,26,11,4.7,True,Ativo,Corporativo,300,Belo Horizonte,MG,504
157,João Lima ,Femininoinino,Sênior,2023-05-10,2023-05-10,"13050,85",0.35,40,4,502.0,29,18,4.9,False,Ativo,Tributário,400,Belo Horizonte,MG,504
158,Samuel Teixeira ,Masculino,Pleno,,,"5754,95",0.2,40,1,502.0,13,20,5.0,True,Desligado,Tributário,400,Salvador,BA,501
159,Diego Santos ,Masculino,Júnior,,,"3647,91",0.05,40,3,501.0,24,16,4.6,False,Ativo,Tributário,400,Rio de Janeiro,RJ,503
160,Pedro Gomes ,Femininoinino,Júnior,,,"3943,15",0.05,20,3,300.0,59,41,1.7,False,Ativo,Trabalhista,200,Rio de Janeiro,RJ,503
161,Olivia Barbosa ,Masculino,Sócio,2018-09-09,2018-09-09,"24793,44",0.55,40,1,,35,9,4.1,False,Ativo,Tributário,400,Salvador,BA,501
162,Natan Alves ,Não-binário,Pleno,,,"6715,14",0.1,20,3,400.0,51,49,1.8,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
163,Isabela Carvalho ,Femininoinino,Júnior,,,"4713,09",0.03,10,2,400.0,26,5,3.7,False,Ativo,Civil,100,São Paulo,SP,502
164,Mariana Rocha ,Não-binário,Pleno,,,"6555,95",0.2,30,4,100.0,22,5,3.6,False,Desligado,Corporativo,300,Belo Horizonte,MG,504
165,Elena Rodrigues ,Não-binário,Júnior,,,"4082,69",0.02,20,3,300.0,60,44,1.2,True,Desligado,Trabalhista,200,Rio de Janeiro,RJ,503
166,Ana Silva ,Masculino,Pleno,,,"7945,65",0.2,40,1,100.0,25,16,4.1,False,Desligado,Tributário,400,Salvador,BA,501
167,Bruno Souza ,Masculino,Pleno,2022-11-08,2022-11-08,"6004,63",0.19,10,2,300.0,20,19,4.7,True,Ativo,Civil,100,São Paulo,SP,502
168,Gabriela Almeida ,Não-binário,Pleno,,,"7990,21",0.14,10,4,100.0,14,16,4.8,True,Desligado,Civil,100,Belo Horizonte,MG,504
